,Unnamed: 0,Unnamed: 0.1,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,resale_price_norm,year,remaining_lease_years,address,latitude,longitude,mrt_dist,mrt_station,no_of_mrt_within_1km,bus_dist,road_name,bus_stop_code,no_of_bus_within_1km,school_dist,school_name,school_zone,school_type,school_level,school_sap,school_ip,no_of_schools_within_1km
0,0,64256,2020-01,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,667.0,265000.0,12.487485099999999,2020,2020,208 ANG MO KIO AVE 1 Singapore,1.3654677,103.8426847,0.9196121775229378,Ang Mo Kio,1,0.08376486106214968,Ang Mo Kio Ave 6,54011,4,0.2098471321600678,ANG MO KIO SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,4
1,1,64257,2020-01,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,1100.0,470000.0,13.06048797,2020,2020,307C ANG MO KIO AVE 1 Singapore,1.365584,103.845157,0.6974772548058222,Ang Mo Kio,1,0.12730222408755765,Ang Mo Kio Ave 6,54019,6,0.34566945268192695,ANG MO KIO SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,2
2,2,64258,2020-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1977,676.0,230000.0,12.34583459,2020,2020,319 ANG MO KIO AVE 1 Singapore,1.3650738000000002,103.84739509999999,0.6021023320136462,Ang Mo Kio,1,0.17315724503650828,Ang Mo Kio Ave 1,54081,10,0.34964829176949447,TECK GHEE PRIMARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,PRIMARY,No,No,4
3,3,64259,2020-01,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,663.0,280000.0,12.54254488,2020,2020,216 ANG MO KIO AVE 1 Singapore,1.3662078000000002,103.8414166,1.0026350412878653,Ang Mo Kio,0,0.17346039602085328,Ang Mo Kio Ave 1,54611,5,0.18308783518699112,ANG MO KIO SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,2
4,4,64260,2020-01,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,709.0,220000.0,12.30138283,2020,2020,556 ANG MO KIO AVE 10 Singapore,1.3720458999999998,103.85772209999999,0.9317162278327293,Ang Mo Kio,1,0.11676931369585025,Ang Mo Kio Ave 10,54589,9,0.654359874356895,JING SHAN PRIMARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,PRIMARY,No,No,2
5,5,64261,2020-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,709.0,280000.0,12.54254488,2020,2020,536 ANG MO KIO AVE 10 Singapore,1.374484,103.8542797,0.7196133757806064,Ang Mo Kio,1,0.07532749159901689,Ang Mo Kio Ave 10,54579,10,0.3148599518074749,ANDERSON SECONDARY SCHOOL,NORTH,GOVERNMENT SCHOOL,SECONDARY,No,No,1
6,6,64262,2020-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1980,709.0,240000.0,12.388394199999999,2020,2020,560 ANG MO KIO AVE 10 Singapore,1.3707919,103.8591716,1.0687503825793148,Ang Mo Kio,0,0.1202797458639779,Ang Mo Kio St 54,54429,7,0.8160300022072593,JING SHAN PRIMARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,PRIMARY,No,No,3
7,7,64263,2020-01,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,710.0,301000.0,12.61486554,2020,2020,463 ANG MO KIO AVE 10 Singapore,1.3669193000000002,103.8574503,0.9397509279855661,Ang Mo Kio,1,0.1108566437786674,Ang Mo Kio Ave 10,54389,10,0.5806259154434501,DEYI SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,1
8,8,64264,2020-01,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,703.0,255000.0,12.44901882,2020,2020,476 ANG MO KIO AVE 10 Singapore,1.3624185,103.85761690000001,1.229624003843131,Ang Mo Kio,0,0.19278100699378628,Ang Mo Kio Ave 10,54379,8,0.5079948878738051,TOWNSVILLE PRIMARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,PRIMARY,No,No,3
9,9,64265,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,703.0,233000.0,12.35879373,2020,2020,442 ANG MO KIO AVE 10 Singapore,1.3656873,103.85518559999998,0.7872955127086687,Ang Mo Kio,1,0.10029325578334654,Ang Mo Kio Ave 10,54381,14,0.31837187420336843,DEYI SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,1
10,10,64266,2020-01,ANG MO KIO,3 ROOM,578,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,,250000.0,12.429216199999999,2020,2020,578 ANG MO KIO AVE 10 Singapore,1.3718197,103.8549348,0.626974292119045,Ang Mo Kio,1,0.027344735983097,Ang Mo Kio St 52,54419,6,0.34356700731450884,JING SHAN PRIMARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,PRIMARY,No,No,2
11,11,64267,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,703.0,245000.0,12.40901349,2020,2020,442 ANG MO KIO AVE 10 Singapore,1.3656873,103.85518559999998,0.7872955127086687,Ang Mo Kio,1,0.10029325578334654,Ang Mo Kio Ave 10,54381,14,0.31837187420336843,DEYI SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,1
12,12,64268,2020-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,703.0,255000.0,12.44901882,2020,2020,445 ANG MO KIO AVE 10 Singapore,1.3670033000000001,103.8556385,0.7518482607195255,Ang Mo Kio,1,0.12730639602085944,Ang Mo Kio Ave 10,54389,10,0.38805799288705234,DEYI SECONDARY SCHOOL,SOUTH,GOVERNMENT SCHOOL,SECONDARY,No,No,2
